"Combined_Key","Last_Update","Confirmed","Deaths","Recovered","Incident_Rate","Case_Fatality_Ratio"
"Amapa, Brazil","2021-04-01 04:27:05",97542,1302,72132,11533.454490848746,1.3348096204711817
"Amazonas, Brazil","2021-04-01 04:27:05",349123,12015,298476,8423.569287918705,3.4414805097343915
"Bahia, Brazil","2021-04-01 04:27:05",803664,15330,769689,5403.486463851698,1.9075135877680225
"Ceara, Brazil","2021-04-01 04:27:05",538301,14024,380789,5894.61675644908,2.6052338747280794
"Distrito Federal, Brazil","2021-04-01 04:27:05",344364,6029,321374,11420.676371055577,1.7507637267542484
"Espirito Santo, Brazil","2021-04-01 04:27:05",382138,7490,351496,9509.113757107487,1.9600249124661768
"Goias, Brazil","2021-04-01 04:27:05",484309,11598,460845,6900.606609469971,2.3947521107392182
"Maranhao, Brazil","2021-04-01 04:27:05",242401,6070,220903,3426.0748947624097,2.5041150820334903
"Mato Grosso, Brazil","2021-04-01 04:27:05",308546,7542,284856,8854.900578740042,2.444368100704595
"Mato Grosso do Sul, Brazil","2021-04-01 04:27:05",215598,4277,194999,7758.153513547747,1.9837846362211151
"Minas Gerais, Brazil","2021-04-01 04:27:05",1123913,24332,1005681,5309.292344565167,2.164936253962718
"Para, Brazil","2021-04-01 04:27:05",417523,10426,390166,4853.301777954205,2.497107943753997
"Paraiba, Brazil","2021-04-01 04:27:05",259173,5744,183369,6450.094782967288,2.2162802452415957
"Parana, Brazil","2021-04-01 04:27:05",846105,16717,589955,7399.931624720994,1.9757595097535177
"Pernambuco, Brazil","2021-04-01 04:27:05",349231,12175,293723,3654.163498419129,3.4862311764992224
"Piaui, Brazil","2021-04-01 04:27:05",205005,4104,201169,6263.085328331949,2.00190239262457
"Rio Grande do Norte, Brazil","2021-04-01 04:27:05",196261,4507,142776,5596.499197428578,2.2964317923581348
"Rio Grande do Sul, Brazil","2021-04-01 04:27:05",845380,19736,801198,7430.449514157171,2.334571435330857
"Rio de Janeiro, Brazil","2021-04-01 04:27:05",647875,36727,599767,3752.5464173267187,5.668840439899673
"Rondonia, Brazil","2021-04-01 04:27:05",187270,4143,164607,10537.213914951679,2.2123137715597796
"Roraima, Brazil","2021-04-01 04:27:05",89525,1341,84118,14778.930964522311,1.4979056129572743
"Santa Catarina, Brazil","2021-04-01 04:27:05",806929,10885,769659,11262.426745913486,1.3489414806011433
"Sao Paulo, Brazil","2021-04-01 04:27:05",2469849,74652,2120478,5378.702420426869,3.0225329564681886
"Sergipe, Brazil","2021-04-01 04:27:05",174600,3501,158658,7595.610728865409,2.0051546391752577
"Tocantins, Brazil","2021-04-01 04:27:05",140975,2032,121515,8962.937720060068,1.4413903174321687
Brunei,"2021-04-01 04:27:05",212,3,194,48.4590258364325,1.4150943396226414
Bulgaria,"2021-04-01 04:27:05",342633,13197,259561,4931.074506598239,3.851643011618846
Burkina Faso,"2021-04-01 04:27:05",12717,146,12385,60.83734809439936,1.1480695132499803
Burma,"2021-04-01 04:27:05",142434,3206,131800,261.78007584443344,2.250867068256175
Burundi,"2021-04-01 04:27:05",2810,6,773,23.631753036238745,0.21352313167259787
Cabo Verde,"2021-04-01 04:27:05",17470,168,16277,3142.15414721181,0.961648540354894
Cambodia,"2021-04-01 04:27:05",2440,11,1191,14.594199607140894,0.4508196721311475
Cameroon,"2021-04-01 04:27:05",47669,721,35261,179.5722301598471,1.5125133734712286
"Alberta, Canada","2021-04-01 04:27:05",148332,1990,137992,3361.139649583313,1.3415850928997115
"British Columbia, Canada","2021-04-01 04:27:05",100048,1458,91066,1957.5352133482113,1.457300495762034
"Diamond Princess, Canada","2020-12-21 13:27:30",0,1,0,,
"Grand Princess, Canada","2020-12-21 13:27:30",13,0,13,,0.0
"Manitoba, Canada","2021-04-01 04:27:05",34122,935,32006,2477.0656187909117,2.7401676337846546
"New Brunswick, Canada","2021-04-01 04:27:05",1613,30,1447,206.79672766294053,1.8598884066955983
"Newfoundland and Labrador, Canada","2021-04-01 04:27:05",1019,6,1006,195.44848618530204,0.5888125613346418
"Northwest Territories,Canada","2021-04-01 04:27:05",47,0,47,104.66773561375379,0.0
"Nova Scotia, Canada","2021-04-01 04:27:05",1716,66,1627,175.5575948609504,3.8461538461538463
"Nunavut, Canada","2021-04-01 04:27:05",395,4,391,1018.5662712738524,1.0126582278481011
"Ontario, Canada","2021-04-01 04:27:05",356576,7366,329652,2423.737038234612,2.065758772323432
"Prince Edward Island, Canada","2021-04-01 04:27:05",159,0,145,100.53237901339169,0.0
"Quebec, Canada","2021-04-01 04:27:05",311091,10667,291906,3643.744186062855,3.428900225335995
"Repatriated Travellers, Canada","2021-04-01 04:27:05",13,0,13,,0.0
"Saskatchewan, Canada","2021-04-01 04:27:05",33590,436,31199,2842.5968082351533,1.2980053587377196
"Yukon, Canada","2021-04-01 04:27:05",74,1,71,180.14508982910561,1.351351351351351
Central African Republic,"2021-04-01 04:27:05",5161,67,4957,106.85822330035174,1.2981980236388295
Chad,"2021-04-01 04:27:05",4533,164,4140,27.596730253194064,3.617913081844253
